Observation id,Date,Hour,Week,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
922587,730,1,1,10/24/2019 13:25,,E:/B1_W1_Live/07302019/922587_730_1.MP4,639.74,59.94,Mouse 2,Top,Location,Right,STATE,10.102,48.38,38.278,,
922587,730,1,1,10/24/2019 13:25,,E:/B1_W1_Live/07302019/922587_730_1.MP4,639.74,59.94,Mouse 1,Top,Location,Left,STATE,10.342,230.056,219.714,,
922587,730,1,1,10/24/2019 13:25,,E:/B1_W1_Live/07302019/922587_730_1.MP4,639.74,59.94,Mouse 1,Shelter,Location,In,STATE,10.342,220.055,209.713,,
922587,730,1,1,10/24/2019 13:25,,E:/B1_W1_Live/07302019/922587_730_1.MP4,639.74,59.94,Mouse 2,Top,Location,Left,STATE,48.381,70.144,21.763,,
922587,730,1,1,10/24/2019 13:25,,E:/B1_W1_Live/07302019/922587_730_1.MP4,639.74,59.94,Mouse 2,Shelter,Location,In,STATE,48.381,52.135,3.754,,
922587,730,1,1,10/24/2019 13:25,,E:/B1_W1_Live/07302019/922587_730_1.MP4,639.74,59.94,Mouse 2,Top,Location,Right,STATE,70.145,72.142,1.997,,
922587,730,1,1,10/24/2019 13:25,,E:/B1_W1_Live/07302019/922587_730_1.MP4,639.74,59.94,Mouse 2,Bottom,Location,Right,STATE,72.143,72.646,0.503,,
922587,730,1,1,10/24/2019 13:25,,E:/B1_W1_Live/07302019/922587_730_1.MP4,639.74,59.94,Mouse 2,Bottom,Location,Left,STATE,72.647,75.144,2.497,,
922587,730,1,1,10/24/2019 13:25,,E:/B1_W1_Live/07302019/922587_730_1.MP4,639.74,59.94,Mouse 2,Bottom,Location,Right,STATE,75.145,86.143,10.998,,
922587,730,1,1,10/24/2019 13:25,,E:/B1_W1_Live/07302019/922587_730_1.MP4,639.74,59.94,Mouse 2,Bottom,Location,Left,STATE,86.144,89.141,2.997,,
922587,730,1,1,10/24/2019 13:25,,E:/B1_W1_Live/07302019/922587_730_1.MP4,639.74,59.94,Mouse 2,Top,Location,Right,STATE,89.142,89.422,0.28,,
922587,730,1,1,10/24/2019 13:25,,E:/B1_W1_Live/07302019/922587_730_1.MP4,639.74,59.94,Mouse 2,Top,Location,Left,STATE,89.423,174.506,85.083,,
922587,730,1,1,10/24/2019 13:25,,E:/B1_W1_Live/07302019/922587_730_1.MP4,639.74,59.94,Mouse 2,Shelter,Location,In,STATE,89.714,98.173,8.459,,
922587,730,1,1,10/24/2019 13:25,,E:/B1_W1_Live/07302019/922587_730_1.MP4,639.74,59.94,Mouse 2,Shelter,Location,On,STATE,98.477,158.955,60.478,,
922587,730,1,1,10/24/2019 13:25,,E:/B1_W1_Live/07302019/922587_730_1.MP4,639.74,59.94,Mouse 2,Top,Location,Right,STATE,174.507,176.256,1.749,,
922587,730,1,1,10/24/2019 13:25,,E:/B1_W1_Live/07302019/922587_730_1.MP4,639.74,59.94,Mouse 2,Bottom,Location,Right,STATE,176.257,178.256,1.999,,
922587,730,1,1,10/24/2019 13:25,,E:/B1_W1_Live/07302019/922587_730_1.MP4,639.74,59.94,Mouse 2,Bottom,Location,Left,STATE,178.257,186.259,8.002,,
