Cage,Week,AnimalID,ds,dom_status_ds
1058108,Week1,1058108-1,0.25,Subdominant
1058108,Week1,1058108-2,2.054347826,Dominant
1058108,Week1,1058108-3,-2.304347826,Subordinate
1058108,Week2,1058108-1,-0.666666667,Subordinate
1058108,Week2,1058108-2,0.666666667,Dominant
1058108,Week2,1058108-3,0,Subdominant
1058108,Week3,1058108-1,2.790865385,Dominant
1058108,Week3,1058108-2,-1.384615385,Subdominant
1058108,Week3,1058108-3,-1.40625,Subordinate
1062366,Week1,1062366-1,-0.992805755,Subordinate
1062366,Week1,1062366-2,0.992805755,Dominant
1062366,Week2,1062366-1,-0.989010989,Subordinate
1062366,Week2,1062366-2,0.989010989,Dominant
1062366,Week3,1062366-1,-0.9375,Subordinate
1062366,Week3,1062366-2,0.9375,Dominant
1064394,Week1,1064394-1,0.988505747,Dominant
1064394,Week1,1064394-2,-0.988505747,Subordinate
1064394,Week2,1064394-1,0.976744186,Dominant
1064394,Week2,1064394-2,-0.976744186,Subordinate
1064394,Week3,1064394-1,0.96875,Dominant
1064394,Week3,1064394-2,-0.96875,Subordinate
1068572,Week1,1068572-1,-0.996168582,Subordinate
1068572,Week1,1068572-2,-0.863346105,Subdominant
1068572,Week1,1068572-3,1.859514687,Dominant
1068572,Week2,1068572-1,-1.875,Subordinate
1068572,Week2,1068572-2,-0.375,Subdominant
1068572,Week2,1068572-3,2.25,Dominant
1068572,Week3,1068572-1,-0.566129032,Subdominant
1068572,Week3,1068572-2,-1.683870968,Subordinate
1068572,Week3,1068572-3,2.25,Dominant
1074455,Week1,1074455-1,0.989583333,Dominant
1074455,Week1,1074455-2,-0.989583333,Subordinate
1074455,Week2,1074455-1,0.992805755,Dominant
1074455,Week2,1074455-2,-0.992805755,Subordinate
1074455,Week3,1074455-1,0.977272727,Dominant
1074455,Week3,1074455-2,-0.977272727,Subordinate
922587,Week1,922587-1,0.75,Dominant
922587,Week1,922587-2,-0.75,Subordinate
927693,Week1,927693-1,0.8,Dominant
927693,Week1,927693-2,-0.8,Subordinate
941702,Week1,941702-1,-1.5,Subordinate
941702,Week1,941702-2,1.5,Dominant
941702,Week1,941702-3,0,Subdominant
941702,Week2,941702-1,-0.5,Subordinate
941702,Week2,941702-2,0.5,Dominant
941702,Week2,941702-3,0,Subdominant
957162,Week1,957162-1,-0.447368421,Subordinate
957162,Week1,957162-2,0.447368421,Dominant
957162,Week2,957162-1,-0.535714286,Subordinate
957162,Week2,957162-2,0.535714286,Dominant
957162,Week3,957162-1,0.3,Dominant
957162,Week3,957162-2,-0.3,Subordinate
922587,Week2,922587-1,0,Unclear
922587,Week2,922587-2,0,Unclear
922587,Week3,922587-1,0,Unclear
922587,Week3,922587-2,0,Unclear
927693,Week2,927693-1,0,Unclear
927693,Week2,927693-2,0,Unclear
927693,Week3,927693-1,0,Unclear
927693,Week3,927693-2,0,Unclear
941702,Week3,941702-1,0,Unclear
941702,Week3,941702-2,0,Unclear
941702,Week3,941702-3,0,Unclear
990342,Week1,990342-1,0,Unclear
990342,Week1,990342-2,0,Unclear
990342,Week2,990342-1,0,Unclear
990342,Week2,990342-2,0,Unclear
990342,Week3,990342-1,0,Unclear
990342,Week3,990342-2,0,Unclear
1001363,Week1,1001363-1,0,Unclear
1001363,Week1,1001363-2,0,Unclear
1001363,Week2,1001363-1,0,Unclear
1001363,Week2,1001363-2,0,Unclear
1001363,Week3,1001363-1,0,Unclear
1001363,Week3,1001363-2,0,Unclear
925878,Week1,925878-1,0,Unclear
925878,Week1,925878-2,0,Unclear
925878,Week2,925878-1,0,Unclear
925878,Week2,925878-2,0,Unclear
925878,Week3,925878-1,0,Unclear
925878,Week3,925878-2,0,Unclear
