"","ds(matrix, norm = FALSE, type = ""D"")"
"922587.922587-1",0.75
"922587.922587-2",-0.75
"927693.927693-1",0.8
"927693.927693-2",-0.8
"941702.941702-1",-1.75
"941702.941702-2",1.75
"941702.941702-3",1.11022302462516e-16
"957162.957162-1",-0.24468085106383
"957162.957162-2",0.24468085106383
"1058108.1058108-1",1.30416666666667
"1058108.1058108-2",1.3125
"1058108.1058108-3",-2.61666666666667
"1062366.1062366-1",-0.995901639344262
"1062366.1062366-2",0.995901639344262
"1064394.1064394-1",0.99375
"1064394.1064394-2",-0.99375
"1068572.1068572-1",-0.962740384615385
"1068572.1068572-2",-1.796875
"1068572.1068572-3",2.75961538461539
"1074455.1074455-1",0.996389891696751
"1074455.1074455-2",-0.996389891696751
