Cage,AnimalID,ds,DumCage
922587,922587-1,0.75,A
922587,922587-2,-0.75,A
927693,927693-1,0.8,D
927693,927693-2,-0.8,D
941702,941702-1,-1.75,G
941702,941702-2,1.75,G
941702,941702-3,1.11E-16,G
957162,957162-1,-0.244680851,B
957162,957162-2,0.244680851,B
1058108,1058108-1,1.304166667,H
1058108,1058108-2,1.3125,H
1058108,1058108-3,-2.616666667,H
1062366,1062366-1,-0.995901639,E
1062366,1062366-2,0.995901639,E
1064394,1064394-1,0.99375,F
1064394,1064394-2,-0.99375,F
1068572,1068572-1,-0.962740385,I
1068572,1068572-2,-1.796875,I
1068572,1068572-3,2.759615385,I
1074455,1074455-1,0.996389892,C
1074455,1074455-2,-0.996389892,C
990342,990342-1,0,J
990342,990342-2,0,J
1001363,1001363-1,0,K
1001363,1001363-2,0,K
925878,925878-1,0,L
925878,925878-2,0,L
