,BlindID,target.x,deltact,highestdelta,deltadeltact,rel_conc,Batch,Cage,BG,AnimalID,Sex
1,B1.1,Cyp11a1,0.296938802,0.354216082,0.05727728,0.961076196,Batch1,922587,17,922587-1,F
2,B1.2,Cyp11a1,0.224775744,0.354216082,0.129440338,0.91418602,Batch1,922587,19,922587-2,F
3,B1.3,Cyp11a1,0.313254279,0.354216082,0.040961804,0.972006722,Batch1,957162,17,957162-1,F
4,B1.4,Cyp11a1,0.262229091,0.354216082,0.091986991,0.938229657,Batch1,957162,12,957162-2,F
5,B1.5,Cyp11a1,0.17023498,0.354216082,0.183981102,0.880270544,Batch1,941702,18,941702-1,M
6,B1.6,Cyp11a1,0.200059868,0.354216082,0.154156214,0.898657815,Batch1,941702,17,941702-2,M
7,B1.7,Cyp11a1,0.289600409,0.354216082,0.064615674,0.95620001,Batch1,941702,12,941702-3,M
8,B1.8,Cyp11a1,0.249832666,0.354216082,0.104383416,0.930202411,Batch1,927693,19,927693-1,M
9,B1.9,Cyp11a1,0.23613365,0.354216082,0.118082433,0.921411537,Batch1,927693,19,927693-2,M
10,B2.1,Cyp11a1,0.283126889,0.354216082,0.071089194,0.951919055,Batch2,990342,NA,990342-1,F
11,B2.2,Cyp11a1,0.269873583,0.354216082,0.084342499,0.943214303,Batch2,990342,NA,990342-2,F
12,B2.3,Cyp11a1,0.339384153,0.354216082,0.014831929,0.989771956,Batch2,1001363,NA,1001363-1,F
13,B2.4,Cyp11a1,0.27200138,0.354216082,0.082214703,0.944606454,Batch2,1001363,NA,1001363-2,F
14,B3.1.1,Cyp11a1,0.276970284,0.354216082,0.077245798,0.947865459,Batch3,1064394,22,1064394-1,M
15,B3.1.2,Cyp11a1,0.230289078,0.354216082,0.123927004,0.917686313,Batch3,1064394,26,1064394-2,M
16,B3.2.1,Cyp11a1,0.225846556,0.354216082,0.128369526,0.914864808,Batch3,1062366,18,1062366-1,M
17,B3.2.2,Cyp11a1,0.329308714,0.354216082,0.024907368,0.982883705,Batch3,1062366,18,1062366-2,M
18,B3.3.1,Cyp11a1,0.246243725,0.354216082,0.107972357,0.927891255,Batch3,1068572,24,1068572-1,M
19,B3.3.2,Cyp11a1,0.270786119,0.354216082,0.083429964,0.943811095,Batch3,1068572,23,1068572-2,M
20,B3.3.3,Cyp11a1,0.354216082,0.354216082,0,1,Batch3,1068572,18,1068572-3,M
21,B3.4.1,Cyp11a1,0.309360801,0.354216082,0.044855282,0.969387052,Batch3,1074455,994804,1074455-1,F
22,B3.5.1,Cyp11a1,0.253041088,0.354216082,0.101174994,0.932273398,Batch3,1058108,853839,1058108-1,M
23,B3.5.2,Cyp11a1,0.251392209,0.354216082,0.102823874,0.931208496,Batch3,1058108,853839,1058108-2,M
24,B3.5.3,Cyp11a1,0.30219809,0.354216082,0.052017992,0.964586155,Batch3,1058108,853839,1058108-3,M
25,B3.4.2,Cyp11a1,0.234040315,0.354216082,0.120175768,0.920075548,Batch3,1074455,26,1074455-2,F
26,B1.1,Cyp11b1,-0.147619493,0.283557189,0.431176681,0.741656633,Batch1,922587,17,922587-1,F
27,B1.2,Cyp11b1,-0.176231366,0.283557189,0.459788555,0.727092816,Batch1,922587,19,922587-2,F
28,B1.3,Cyp11b1,-0.062315819,0.283557189,0.345873008,0.786831703,Batch1,957162,17,957162-1,F
29,B1.4,Cyp11b1,-0.024106929,0.283557189,0.307664118,0.807948859,Batch1,957162,12,957162-2,F
30,B1.5,Cyp11b1,0.086472777,0.283557189,0.197084411,0.872311666,Batch1,941702,18,941702-1,M
31,B1.6,Cyp11b1,-0.112372962,0.283557189,0.39593015,0.759999223,Batch1,941702,17,941702-2,M
32,B1.7,Cyp11b1,0.093544747,0.283557189,0.190012442,0.876598162,Batch1,941702,12,941702-3,M
33,B1.8,Cyp11b1,0.123709485,0.283557189,0.159847704,0.895119558,Batch1,927693,19,927693-1,M
34,B1.9,Cyp11b1,0.135356825,0.283557189,0.148200363,0.902375396,Batch1,927693,19,927693-2,M
35,B3.1.1,Cyp11b1,0.121912436,0.283557189,0.161644752,0.894005274,Batch3,1064394,22,1064394-1,M
