"","BlindID","target.x","GeneExpRat","Batch","Cage","BG","AnimalID","Sex"
"1","B1.1","GAPDH",0.869249926331735,"Batch1",922587,17,"922587-1","F"
"2","B1.2","GAPDH",0.998497897267104,"Batch1",922587,19,"922587-2","F"
"3","B1.3","GAPDH",0.863906672510246,"Batch1",957162,17,"957162-1","F"
"4","B1.4","GAPDH",0.813509021873715,"Batch1",957162,12,"957162-2","F"
"5","B1.5","GAPDH",0.828016975032873,"Batch1",941702,18,"941702-1","M"
"6","B1.6","GAPDH",0.783896705780354,"Batch1",941702,17,"941702-2","M"
"7","B1.7","GAPDH",0.842650549142657,"Batch1",941702,12,"941702-3","M"
"8","B1.8","GAPDH",0.804239601491465,"Batch1",927693,19,"927693-1","M"
"9","B1.9","GAPDH",0.836369069809672,"Batch1",927693,19,"927693-2","M"
"10","B2.1","GAPDH",0.840804773878592,"Batch2",990342,NA,"990342-1","F"
"11","B2.2","GAPDH",0.858050793100006,"Batch2",990342,NA,"990342-2","F"
"12","B2.3","GAPDH",0.868232048157926,"Batch2",1001363,NA,"1001363-1","F"
"13","B2.4","GAPDH",0.837252754215406,"Batch2",1001363,NA,"1001363-2","F"
"14","B3.1.1","GAPDH",0.838760936054314,"Batch3",1064394,22,"1064394-1","M"
"15","B3.1.2","GAPDH",0.812512749202861,"Batch3",1064394,26,"1064394-2","M"
"16","B3.2.1","GAPDH",0.815232012748516,"Batch3",1062366,18,"1062366-1","M"
"17","B3.2.2","GAPDH",0.866918523241978,"Batch3",1062366,18,"1062366-2","M"
"18","B3.3.1","GAPDH",0.814677013549597,"Batch3",1068572,24,"1068572-1","M"
"19","B3.3.2","GAPDH",0.809299964891259,"Batch3",1068572,23,"1068572-2","M"
"20","B3.3.3","GAPDH",0.864247179247509,"Batch3",1068572,18,"1068572-3","M"
"21","B3.4.1","GAPDH",0.837055329164348,"Batch3",1074455,994804,"1074455-1","F"
"22","B3.4.2","GAPDH",0.803901351494551,"Batch3",1074455,26,"1074455-2","F"
"23","B3.5.1","GAPDH",0.826905060494356,"Batch3",1058108,853839,"1058108-1","M"
"24","B3.5.2","GAPDH",0.81851292501661,"Batch3",1058108,853839,"1058108-2","M"
"25","B3.5.3","GAPDH",0.84407627217941,"Batch3",1058108,853839,"1058108-3","M"
"26","B1.1","Cyp11a1",1.22807153376152,"Batch1",922587,17,"922587-1","F"
"27","B1.2","Cyp11a1",1.41835175341213,"Batch1",922587,19,"922587-2","F"
"28","B1.3","Cyp11a1",1.23966588503677,"Batch1",957162,17,"957162-1","F"
"29","B1.4","Cyp11a1",1.18916248564006,"Batch1",957162,12,"957162-2","F"
"30","B1.5","Cyp11a1",1.11510144348187,"Batch1",941702,18,"941702-1","M"
"31","B1.6","Cyp11a1",1.13851971149143,"Batch1",941702,17,"941702-2","M"
"32","B1.7","Cyp11a1",1.21434654532334,"Batch1",941702,12,"941702-3","M"
"33","B1.8","Cyp11a1",1.18361646996948,"Batch1",927693,19,"927693-1","M"
"34","B1.9","Cyp11a1",1.17267735345698,"Batch1",927693,19,"927693-2","M"
"35","B2.1","Cyp11a1",1.20861401683843,"Batch2",990342,NA,"990342-1","F"
"36","B2.2","Cyp11a1",1.19585542690374,"Batch2",990342,NA,"990342-2","F"
"37","B2.3","Cyp11a1",1.25337608649182,"Batch2",1001363,NA,"1001363-1","F"
"38","B2.4","Cyp11a1",1.20139625381713,"Batch2",1001363,NA,"1001363-2","F"
"39","B3.1.1","Cyp11a1",1.20749106202997,"Batch3",1064394,22,"1064394-1","M"
"40","B3.1.2","Cyp11a1",1.17765432616316,"Batch3",1064394,26,"1064394-2","M"
"41","B3.2.1","Cyp11a1",1.17345605798417,"Batch3",1062366,18,"1062366-1","M"
"42","B3.2.2","Cyp11a1",1.24897872191244,"Batch3",1062366,18,"1062366-2","M"
"43","B3.3.1","Cyp11a1",1.18241807732399,"Batch3",1068572,24,"1068572-1","M"
"44","B3.3.2","Cyp11a1",1.20956727330035,"Batch3",1068572,23,"1068572-2","M"
"45","B3.3.3","Cyp11a1",1.27006542596323,"Batch3",1068572,18,"1068572-3","M"
"46","B3.4.1","Cyp11a1",1.23650411678807,"Batch3",1074455,994804,"1074455-1","F"
"47","B3.5.1","Cyp11a1",1.19296258863283,"Batch3",1058108,853839,"1058108-1","M"
"48","B3.5.2","Cyp11a1",1.19092049690594,"Batch3",1058108,853839,"1058108-2","M"
"49","B3.5.3","Cyp11a1",1.2346641856315,"Batch3",1058108,853839,"1058108-3","M"
"50","B1.1","StAR",1.19578954745306,"Batch1",922587,17,"922587-1","F"
"51","B1.2","StAR",1.37939350784172,"Batch1",922587,19,"922587-2","F"
"52","B1.3","StAR",1.19882182231073,"Batch1",957162,17,"957162-1","F"
"53","B1.5","StAR",1.09681282057778,"Batch1",941702,18,"941702-1","M"
"54","B1.6","StAR",1.06644388787128,"Batch1",941702,17,"941702-2","M"
"55","B1.7","StAR",1.15364505313439,"Batch1",941702,12,"941702-3","M"
"56","B1.9","StAR",1.12579950349323,"Batch1",927693,19,"927693-2","M"
"57","B2.1","StAR",1.13532419693779,"Batch2",990342,NA,"990342-1","F"
"58","B2.2","StAR",1.12211761216433,"Batch2",990342,NA,"990342-2","F"
"59","B2.3","StAR",1.18870655437452,"Batch2",1001363,NA,"1001363-1","F"
"60","B2.4","StAR",1.11333183893958,"Batch2",1001363,NA,"1001363-2","F"
"61","B3.1.1","StAR",1.14435922164792,"Batch3",1064394,22,"1064394-1","M"
"62","B3.1.2","StAR",1.13697095249067,"Batch3",1064394,26,"1064394-2","M"
"63","B3.2.1","StAR",1.1362588490537,"Batch3",1062366,18,"1062366-1","M"
"64","B3.2.2","StAR",1.18927713487597,"Batch3",1062366,18,"1062366-2","M"
"65","B3.3.1","StAR",1.13219640051595,"Batch3",1068572,24,"1068572-1","M"
"66","B3.3.2","StAR",1.12830591537769,"Batch3",1068572,23,"1068572-2","M"
"67","B3.3.3","StAR",1.20049106472626,"Batch3",1068572,18,"1068572-3","M"
"68","B3.4.2","StAR",1.1278948867129,"Batch3",1074455,26,"1074455-2","F"
"69","B3.5.1","StAR",1.14570296212408,"Batch3",1058108,853839,"1058108-1","M"
"70","B3.5.2","StAR",1.13641362308962,"Batch3",1058108,853839,"1058108-2","M"
"71","B3.5.3","StAR",1.17414237170875,"Batch3",1058108,853839,"1058108-3","M"
"72","B1.1","Nr5a1",1.02372171308996,"Batch1",922587,17,"922587-1","F"
"73","B1.2","Nr5a1",1.20075919134746,"Batch1",922587,19,"922587-2","F"
"74","B1.3","Nr5a1",1.0205024965996,"Batch1",957162,17,"957162-1","F"
"75","B1.4","Nr5a1",1.00792110425719,"Batch1",957162,12,"957162-2","F"
"76","B1.5","Nr5a1",1.01864617595971,"Batch1",941702,18,"941702-1","M"
"77","B1.7","Nr5a1",1.02775207643869,"Batch1",941702,12,"941702-3","M"
"78","B1.9","Nr5a1",0.980144993437875,"Batch1",927693,19,"927693-2","M"
"79","B2.1","Nr5a1",1.0102479746889,"Batch2",990342,NA,"990342-1","F"
"80","B2.2","Nr5a1",1.014229292454,"Batch2",990342,NA,"990342-2","F"
"81","B2.3","Nr5a1",1.04837936596985,"Batch2",1001363,NA,"1001363-1","F"
"82","B2.4","Nr5a1",0.998307499274391,"Batch2",1001363,NA,"1001363-2","F"
"83","B3.1.1","Nr5a1",1.0005378757183,"Batch3",1064394,22,"1064394-1","M"
"84","B3.1.2","Nr5a1",0.967395856835032,"Batch3",1064394,26,"1064394-2","M"
"85","B3.2.1","Nr5a1",0.957471074454551,"Batch3",1062366,18,"1062366-1","M"
"86","B3.2.2","Nr5a1",1.02049329523875,"Batch3",1062366,18,"1062366-2","M"
"87","B3.3.1","Nr5a1",0.981530320821445,"Batch3",1068572,24,"1068572-1","M"
"88","B3.3.2","Nr5a1",0.937867231724529,"Batch3",1068572,23,"1068572-2","M"
"89","B3.3.3","Nr5a1",1.04779064378575,"Batch3",1068572,18,"1068572-3","M"
"90","B3.4.1","Nr5a1",1.00984395910384,"Batch3",1074455,994804,"1074455-1","F"
"91","B3.5.1","Nr5a1",0.994772999947956,"Batch3",1058108,853839,"1058108-1","M"
"92","B3.5.2","Nr5a1",0.977498653939432,"Batch3",1058108,853839,"1058108-2","M"
