,Opponent.1,Cage.x,wins,dom_rank,dom_status
1,957162-1,957162,35,2,Subordinate
2,957162-2,957162,58,1,Dominant
3,922587-1,922587,3,1,Dominant
4,922587-2,922587,0,2,Subordinate
5,941702-1,941702,0,3,Subordinate
6,941702-2,941702,3,1,Dominant
7,941702-3,941702,1,2,Subdominant
8,927693-1,927693,4,1,Dominant
9,927693-2,927693,0,2,Subordinate
10,990342-1,990342,0,0,Unclear
11,990342-2,990342,0,0,Unclear
12,1001363-1,1001363,0,0,Unclear
13,1001363-2,1001363,0,0,Unclear
14,1064394-1,1064394,159,1,Dominant
15,1064394-2,1064394,0,2,Subordinate
16,1062366-1,1062366,0,2,Subordinate
17,1062366-2,1062366,243,1,Dominant
18,1068572-1,1068572,21,2,Subdominant
19,1068572-2,1068572,12,3,Subordinate
20,1068572-3,1068572,71,1,Dominant
21,1074455-1,1074455,276,1,Dominant
22,1074455-2,1074455,0,2,Subordinate
23,1058108-1,1058108,35,2,Subdominant
24,1058108-2,1058108,43,1,Dominant
25,1058108-3,1058108,2,3,Subordinate
26,925878-1,925878,0,0,Unclear
27,925878-2,925878,0,0,Unclear
