"","Opponent.1","Cage","Week","wins","dom_rank","dom_status"
"1","957162-1",957162,1,10,"2","Subordinate"
"2","957162-2",957162,1,27,"1","Dominant"
"3","922587-1",922587,1,3,"1","Dominant"
"4","922587-2",922587,1,0,"2","Subordinate"
"5","941702-1",941702,1,0,"3","Subordinate"
"6","941702-2",941702,1,2,"1","Dominant"
"7","941702-3",941702,1,1,"2","Subordinate"
"8","927693-1",927693,1,4,"1","Dominant"
"9","927693-2",927693,1,0,"2","Subordinate"
"10","990342-1",990342,1,0,"0","Unmeasurable"
"11","990342-2",990342,1,0,"0","Unmeasurable"
"12","1001363-1",1001363,1,0,"0","Unmeasurable"
"13","1001363-2",1001363,1,0,"0","Unmeasurable"
"14","1064394-1",1064394,1,86,"1","Dominant"
"15","1064394-2",1064394,1,0,"2","Subordinate"
"16","1062366-1",1062366,1,0,"2","Subordinate"
"17","1062366-2",1062366,1,138,"1","Dominant"
"18","1068572-1",1068572,1,0,"3","Subordinate"
"19","1068572-2",1068572,1,1,"2","Subordinate"
"20","1068572-3",1068572,1,53,"1","Dominant"
"21","1074455-1",1074455,1,95,"1","Dominant"
"22","1074455-2",1074455,1,0,"2","Subordinate"
"23","1058108-1",1058108,1,8,"2","Subordinate"
"24","1058108-2",1058108,1,40,"1","Dominant"
"25","1058108-3",1058108,1,1,"3","Subordinate"
"26","957162-1",957162,2,6,"2","Subordinate"
"27","957162-2",957162,2,21,"1","Dominant"
"28","922587-1",922587,2,0,"0","Unmeasurable"
"29","922587-2",922587,2,0,"0","Unmeasurable"
"30","941702-1",941702,2,0,"2.5","Subordinate"
"31","941702-2",941702,2,1,"1","Dominant"
"32","941702-3",941702,2,0,"2.5","Subordinate"
"33","927693-1",927693,2,0,"0","Unmeasurable"
"34","927693-2",927693,2,0,"0","Unmeasurable"
"35","990342-1",990342,2,0,"0","Unmeasurable"
"36","990342-2",990342,2,0,"0","Unmeasurable"
"37","1001363-1",1001363,2,0,"0","Unmeasurable"
"38","1001363-2",1001363,2,0,"0","Unmeasurable"
"39","1064394-1",1064394,2,42,"1","Dominant"
"40","1064394-2",1064394,2,0,"2","Subordinate"
"41","1062366-1",1062366,2,0,"2","Subordinate"
"42","1062366-2",1062366,2,90,"1","Dominant"
"43","1068572-1",1068572,2,0,"3","Subordinate"
"44","1068572-2",1068572,2,1,"2","Subordinate"
"45","1068572-3",1068572,2,6,"1","Dominant"
"46","1074455-1",1074455,2,138,"1","Dominant"
"47","1074455-2",1074455,2,0,"2","Subordinate"
"48","1058108-1",1058108,2,0,"2.5","Subordinate"
"49","1058108-2",1058108,2,2,"1","Dominant"
"50","1058108-3",1058108,2,0,"2.5","Subordinate"
"51","957162-1",957162,3,19,"1","Dominant"
"52","957162-2",957162,3,10,"2","Subordinate"
"53","922587-1",922587,3,0,"0","Unmeasurable"
"54","922587-2",922587,3,0,"0","Unmeasurable"
"55","941702-1",941702,3,0,"2","Subordinate"
"56","941702-2",941702,3,0,"2","Subordinate"
"57","941702-3",941702,3,0,"2","Subordinate"
"58","927693-1",927693,3,0,"0","Unmeasurable"
"59","927693-2",927693,3,0,"0","Unmeasurable"
"60","990342-1",990342,3,0,"0","Unmeasurable"
"61","990342-2",990342,3,0,"0","Unmeasurable"
"62","1001363-1",1001363,3,0,"0","Unmeasurable"
"63","1001363-2",1001363,3,0,"0","Unmeasurable"
"64","1064394-1",1064394,3,31,"1","Dominant"
"65","1064394-2",1064394,3,0,"2","Subordinate"
"66","1062366-1",1062366,3,0,"2","Subordinate"
"67","1062366-2",1062366,3,15,"1","Dominant"
"68","1068572-1",1068572,3,21,"1","Dominant"
"69","1068572-2",1068572,3,10,"3","Subordinate"
"70","1068572-3",1068572,3,12,"2","Subordinate"
"71","1074455-1",1074455,3,43,"1","Dominant"
"72","1074455-2",1074455,3,0,"2","Subordinate"
"73","1058108-1",1058108,3,27,"1","Dominant"
"74","1058108-2",1058108,3,1,"2.5","Subordinate"
"75","1058108-3",1058108,3,1,"2.5","Subordinate"
"76","925878-1",925878,1,0,"0","Unmeasurable"
"77","925878-2",925878,1,0,"0","Unmeasurable"
"78","925878-1",925878,2,0,"0","Unmeasurable"
"79","925878-2",925878,2,0,"0","Unmeasurable"
"80","925878-1",925878,3,0,"0","Unmeasurable"
"81","925878-2",925878,3,0,"0","Unmeasurable"
